customer id,transaction date,transaction type,amount
1,2019-01-11,A,1107
1,2018-12-19,B,800
1,2019-02-09,C,1138
1,2019-03-28,A,1199
1,2017-03-28,B,1157
1,2018-10-13,C,923
1,2019-04-24,A,1168
1,2017-10-27,B,724
1,2019-01-04,C,1143
1,2017-04-17,A,1073
1,2019-02-03,B,1021
1,2019-02-28,C,854
1,2017-12-07,A,827
1,2018-04-27,B,958
1,2018-04-24,C,1170
1,2017-04-14,A,723
1,2017-04-08,B,906
1,2018-10-28,C,893
1,2017-12-25,A,787
1,2017-08-18,B,1013
1,2018-10-08,C,1113
1,2017-06-08,A,1123
1,2017-11-07,B,748
1,2017-12-12,C,778
1,2017-11-19,A,780
1,2017-11-14,B,939
1,2017-12-14,C,926
1,2017-01-12,A,770
1,2018-10-19,B,1199
1,2017-01-13,C,849
1,2018-02-18,A,781
1,2019-01-03,B,973
1,2018-05-14,C,729
1,2017-01-27,A,975
1,2017-10-23,B,853
1,2019-07-20,C,1199
1,2017-04-02,A,998
1,2019-04-02,B,902
1,2018-10-23,C,717
1,2017-09-04,A,1024
1,2017-11-09,B,824
1,2018-07-08,C,724
1,2018-10-31,A,1163
1,2019-05-23,B,1181
1,2018-12-26,C,956
1,2017-11-05,A,778
1,2018-07-06,B,872
1,2018-08-03,C,973
1,2018-09-14,A,934
1,2017-09-07,B,1026
1,2018-09-27,C,743
1,2018-09-25,A,1158
1,2017-08-14,B,1009
1,2019-03-21,C,1058
1,2017-08-11,A,1006
1,2017-10-01,B,897
1,2017-02-24,C,1158
1,2019-07-02,A,770
1,2018-07-08,B,1054
1,2019-01-05,C,849
1,2017-07-29,A,807
1,2017-12-09,B,716
1,2018-04-18,C,964
1,2019-06-19,A,1026
1,2017-02-28,B,908
1,2017-09-15,C,1083
1,2018-12-07,A,950
1,2018-08-30,B,941
1,2019-02-13,C,1166
1,2018-11-16,A,1134
1,2017-02-11,B,791
1,2017-11-12,C,712
1,2017-11-14,A,1167
1,2019-02-04,B,1108
1,2017-06-02,C,1108
1,2019-02-23,A,1094
1,2018-12-21,B,856
1,2017-05-11,C,927
1,2018-01-02,A,1021
1,2019-03-07,B,1146
1,2017-03-12,C,934
1,2019-05-10,A,1005
1,2017-04-30,B,1122
1,2017-01-10,C,1021
1,2018-05-17,A,891
1,2018-08-15,B,1149
1,2019-07-11,C,911
1,2018-05-13,A,806
1,2018-07-15,B,931
1,2018-12-22,C,746
1,2017-11-19,A,735
1,2019-05-02,B,1006
1,2019-06-03,C,764
1,2019-03-25,A,1141
1,2019-03-06,B,810
1,2018-07-06,C,701
1,2017-10-05,A,970
1,2017-06-20,B,824
1,2018-10-24,C,1013
1,2017-02-26,A,791
1,2018-11-06,B,990
1,2017-11-13,C,734
1,2017-11-01,A,1087
1,2019-07-20,B,959
1,2018-11-14,C,1157
1,2019-01-01,A,1069
1,2017-02-01,B,706
1,2018-06-13,C,821
1,2017-03-08,A,1054
1,2017-01-19,B,1017
1,2018-12-24,C,1192
1,2018-10-25,A,1154
1,2019-02-12,B,745
1,2017-08-16,C,1117
1,2018-01-06,A,1052
1,2017-11-12,B,789
1,2019-01-04,C,795
1,2017-12-20,A,1106
1,2019-05-30,B,730
1,2017-04-30,C,818
1,2019-02-03,A,1041
1,2018-08-15,B,785
1,2017-04-23,C,839
1,2019-07-02,A,968
1,2018-08-20,B,1094
1,2019-03-18,C,952
1,2017-01-30,A,842
1,2018-07-15,B,866
1,2018-03-11,C,955
1,2017-12-07,A,927
1,2017-08-30,B,809
1,2017-02-11,C,904
1,2017-05-28,A,1046
1,2017-08-11,B,1189
1,2019-01-25,C,1126
1,2019-06-28,A,838
1,2018-02-25,B,1057
1,2018-08-14,C,1133
1,2018-03-02,A,973
1,2018-12-23,B,943
1,2018-09-29,C,1067
1,2019-05-25,A,1027
1,2018-04-13,B,1175
1,2017-11-15,C,1112
1,2019-03-10,A,710
1,2018-10-26,B,1151
1,2017-02-16,C,915
1,2019-01-04,A,742
1,2019-04-28,B,979
1,2017-02-20,C,779
1,2019-05-07,A,995
1,2018-08-11,B,901
1,2017-09-21,C,1128
1,2018-06-12,A,793
1,2019-01-05,B,717
1,2017-06-21,C,706
1,2019-06-10,A,1198
1,2018-04-15,B,1131
1,2018-04-02,C,973
1,2019-03-23,A,1084
1,2017-03-14,B,954
1,2018-06-06,C,878
1,2017-12-17,A,1187
1,2017-08-17,B,942
1,2018-06-07,C,1001
1,2019-02-19,A,1042
1,2017-07-21,B,752
1,2017-09-11,C,938
1,2017-03-19,A,851
1,2017-03-08,B,1135
1,2018-09-29,C,866
1,2017-11-19,A,906
1,2019-05-16,B,770
1,2018-01-10,C,889
1,2017-12-18,A,1198
1,2018-08-02,B,898
1,2017-05-31,C,1112
1,2019-06-13,A,1128
1,2018-11-11,B,857
1,2017-03-06,C,895
1,2017-04-10,A,1103
1,2018-05-28,B,852
1,2018-09-17,C,926
1,2017-10-30,A,952
1,2018-05-21,B,781
1,2017-07-30,C,1019
1,2018-04-07,A,871
1,2019-06-15,B,903
1,2018-03-30,C,1015
1,2018-04-13,A,960
1,2018-09-06,B,749
1,2017-11-22,C,798
1,2017-03-18,A,804
1,2017-01-09,B,1015
1,2018-04-19,C,850
1,2017-08-31,A,787
1,2017-08-05,B,1148
2,2019-01-07,C,816
2,2018-08-12,A,789
2,2017-12-08,B,1019
2,2019-01-28,C,1076
2,2018-05-19,A,1082
2,2017-03-30,B,1056
2,2017-11-23,C,846
2,2019-04-08,A,1006
2,2019-01-05,B,1018
2,2017-06-12,C,1102
2,2019-02-23,A,787
2,2017-12-04,B,835
2,2019-01-13,C,949
2,2017-02-22,A,1047
2,2018-04-11,B,1066
2,2017-02-06,C,840
2,2017-04-06,A,726
2,2019-07-01,B,958
2,2017-04-10,C,1027
2,2018-09-01,A,811
2,2018-03-04,B,900
2,2018-06-03,C,1099
2,2019-02-26,A,1127
2,2019-04-11,B,1024
2,2019-04-21,C,743
2,2017-08-07,A,1197
2,2018-03-07,B,1157
2,2017-03-22,C,1010
2,2018-05-10,A,940
2,2018-03-25,B,923
2,2017-06-16,C,895
2,2017-10-07,A,1045
2,2019-04-03,B,997
2,2019-01-21,C,701
2,2019-07-14,A,1165
2,2019-01-26,B,788
2,2017-07-01,C,760
2,2018-08-08,A,1159
2,2017-06-21,B,796
2,2018-04-01,C,1076
2,2017-10-20,A,1022
2,2018-01-03,B,988
2,2019-03-19,C,777
2,2017-10-03,A,774
2,2017-06-08,B,886
2,2018-07-30,C,982
2,2017-08-03,A,1018
2,2017-09-23,B,776
2,2018-10-17,C,860
2,2018-06-22,A,841
2,2018-09-09,B,989
2,2017-01-07,C,993
2,2018-05-15,A,1036
2,2018-06-25,B,1138
2,2019-01-27,C,1013
2,2017-03-14,A,1187
2,2018-10-12,B,1092
2,2019-02-22,C,847
2,2019-04-01,A,836
2,2019-06-17,B,1011
2,2018-09-18,C,1076
2,2017-11-21,A,951
2,2019-04-24,B,1055
2,2018-10-03,C,1136
2,2018-10-18,A,718
2,2017-01-06,B,798
2,2017-12-30,C,710
2,2019-07-02,A,856
2,2017-06-25,B,877
2,2019-01-13,C,832
2,2017-05-12,A,871
2,2019-01-18,B,1081
2,2017-05-05,C,908
2,2018-05-11,A,787
2,2019-07-02,B,1097
2,2017-01-24,C,1056
2,2019-04-25,A,895
2,2018-08-02,B,1152
2,2017-07-27,C,1007
2,2018-08-04,A,747
2,2017-07-21,B,918
2,2019-07-19,C,919
2,2017-11-29,A,703
2,2018-05-26,B,865
2,2018-04-25,C,948
2,2018-05-30,A,891
2,2019-05-29,B,1166
2,2017-07-13,C,1088
2,2018-12-19,A,1050
2,2018-03-16,B,728
2,2017-06-24,C,866
2,2018-02-03,A,1165
2,2018-08-18,B,917
2,2018-08-09,C,1166
2,2017-12-26,A,853
2,2017-08-24,B,990
2,2018-04-21,C,988
2,2019-01-06,A,896
2,2017-03-05,B,734
2,2019-05-23,C,797
2,2018-05-25,A,928
2,2017-09-18,B,969
2,2017-01-04,C,802
2,2018-01-02,A,1138
2,2019-02-05,B,781
2,2017-03-12,C,799
2,2017-02-11,A,983
2,2018-06-06,B,800
2,2018-08-04,C,1144
2,2018-03-26,A,998
2,2018-04-29,B,729
2,2019-03-04,C,1168
2,2018-06-28,A,1070
2,2017-01-22,B,1044
2,2018-02-15,C,975
2,2018-05-02,A,1169
2,2019-05-04,B,878
2,2018-04-20,C,709
2,2017-02-02,A,720
2,2018-02-14,B,754
2,2018-06-01,C,1180
2,2018-10-19,A,848
2,2017-03-16,B,901
2,2019-05-02,C,763
2,2019-05-16,A,1195
2,2017-08-10,B,1018
2,2018-04-18,C,904
2,2017-04-25,A,1171
2,2017-10-11,B,1188
2,2017-07-24,C,1189
2,2018-11-11,A,764
2,2018-03-30,B,1099
2,2017-09-23,C,1186
2,2018-11-29,A,1140
2,2017-03-22,B,1004
2,2019-04-09,C,1078
2,2019-06-01,A,1021
2,2017-11-26,B,972
2,2017-11-20,C,949
2,2019-03-05,A,742
2,2017-05-02,B,985
2,2018-12-18,C,1194
2,2017-10-16,A,811
2,2017-06-16,B,744
2,2018-03-07,C,1030
2,2017-11-27,A,890
2,2018-05-18,B,1091
2,2017-12-06,C,740
2,2017-03-14,A,973
2,2017-06-12,B,826
2,2017-07-14,C,1106
2,2017-03-05,A,1066
2,2017-10-05,B,1028
2,2017-08-24,C,882
2,2019-02-13,A,1049
2,2018-06-11,B,1176
2,2019-03-07,C,754
2,2019-02-21,A,939
2,2018-01-20,B,754
2,2017-05-05,C,898
2,2017-02-24,A,940
2,2017-03-06,B,766
2,2018-07-15,C,796
2,2017-04-01,A,826
2,2019-06-11,B,759
2,2018-03-13,C,995
2,2018-10-17,A,703
2,2017-01-17,B,935
2,2017-10-30,C,1138
2,2017-04-17,A,757
2,2018-07-03,B,832
2,2017-02-28,C,981
2,2017-02-22,A,734
2,2017-12-11,B,893
2,2018-04-14,C,881
2,2018-01-05,A,1080
2,2017-09-16,B,711
2,2019-01-15,C,1075
2,2017-05-02,A,1122
2,2018-03-11,B,1013
2,2017-04-21,C,1042
2,2018-11-03,A,813
2,2017-12-12,B,959
2,2018-12-04,C,966
2,2018-09-02,A,977
2,2019-05-26,B,807
2,2018-08-17,C,916
2,2017-03-17,A,702
2,2018-12-06,B,978
2,2018-05-13,C,826
2,2017-02-23,A,837
2,2017-02-10,B,744
2,2018-04-21,C,983
2,2018-06-16,A,900
2,2017-01-19,B,920
2,2017-02-06,C,844
2,2018-12-05,A,807
2,2019-06-14,B,1078
2,2017-10-12,C,952
3,2018-07-26,A,720
3,2017-06-22,B,1098
3,2019-06-02,C,973
3,2019-07-03,A,723
3,2019-06-16,B,793
3,2017-03-24,C,740
3,2018-06-22,A,1160
3,2018-02-04,B,1063
3,2017-09-28,C,749
3,2017-02-14,A,963
3,2017-09-24,B,1185
3,2018-03-26,C,844
3,2018-04-22,A,1092
3,2019-06-30,B,1009
3,2017-01-21,C,908
3,2018-03-28,A,1077
3,2017-10-24,B,1050
3,2018-11-28,C,1052
3,2017-12-24,A,1183
3,2017-05-19,B,781
3,2017-05-13,C,1018
3,2019-05-19,A,996
3,2018-07-18,B,1016
3,2018-09-12,C,852
3,2018-06-08,A,984
3,2018-09-15,B,1072
3,2018-11-18,C,1014
3,2017-07-27,A,897
3,2018-04-26,B,946
3,2019-05-04,C,1166
3,2017-02-23,A,888
3,2018-02-17,B,973
3,2017-11-18,C,863
3,2018-07-02,A,1064
3,2018-04-16,B,862
3,2018-01-14,C,805
3,2019-03-19,A,1013
3,2017-02-04,B,1157
3,2018-04-03,C,956
3,2017-03-25,A,856
3,2018-04-28,B,756
3,2018-11-10,C,967
3,2017-08-24,A,828
3,2018-10-23,B,827
3,2018-06-25,C,711
3,2018-07-22,A,921
3,2018-06-01,B,742
3,2017-08-11,C,990
3,2018-05-08,A,1087
3,2017-03-06,B,742
3,2018-03-31,C,1084
3,2018-02-16,A,714
3,2019-07-05,B,830
3,2017-08-07,C,1184
3,2018-08-30,A,733
3,2019-02-22,B,1087
3,2019-03-10,C,1077
3,2018-06-08,A,958
3,2017-10-22,B,937
3,2017-11-14,C,1159
3,2019-06-10,A,978
3,2017-06-17,B,813
3,2018-10-22,C,913
3,2017-11-17,A,1020
3,2017-08-23,B,1134
3,2017-12-22,C,738
3,2018-04-07,A,742
3,2019-02-05,B,806
3,2017-07-31,C,1106
3,2018-11-20,A,1112
3,2018-04-10,B,1037
3,2019-06-19,C,797
3,2017-11-02,A,1000
3,2018-04-23,B,729
3,2017-10-12,C,1069
3,2017-11-30,A,1135
3,2018-01-03,B,795
3,2017-05-26,C,838
3,2017-01-13,A,1044
3,2017-07-22,B,834
3,2017-03-10,C,938
3,2019-07-10,A,887
3,2018-06-26,B,1068
3,2019-01-04,C,757
3,2018-09-30,A,921
3,2017-01-07,B,794
3,2018-05-04,C,754
3,2018-05-05,A,776
3,2019-02-20,B,766
3,2018-12-06,C,851
3,2017-10-06,A,1177
3,2018-11-18,B,716
3,2019-02-25,C,824
3,2018-07-30,A,1066
3,2018-03-10,B,1020
3,2017-07-12,C,1022
3,2019-07-04,A,1060
3,2018-01-05,B,784
3,2019-01-02,C,1107
3,2019-03-08,A,911
3,2018-06-13,B,900
3,2017-07-26,C,837
3,2017-07-12,A,810
3,2018-08-21,B,873
3,2018-11-24,C,1054
3,2018-01-12,A,746
3,2018-12-28,B,720
3,2017-07-09,C,1070
3,2018-05-06,A,1136
3,2019-02-13,B,1147
3,2018-08-29,C,916
3,2017-09-27,A,743
3,2017-09-26,B,1167
3,2017-09-02,C,1095
3,2018-10-13,A,1058
